index,Date,close,high,low,open,volumefrom,volumeto,cRSI,MACD,MACD_Signal,candlestick_pattern,candlestick_match_count
597,2020-09-01,11926.69,12062.06,11540.42,11657.81,45202.86,537292263.85,78.41,134.8891868723258,175.5327394329645,,
598,2020-09-02,11397.9,11954.28,11219.19,11926.69,53717.87,618129314.2,23.32,104.83159109297776,161.39250976496714,,
599,2020-09-03,10174.62,11469.2,10017.43,11397.9,82662.97,894736678.62,11.29,-17.49605905999306,125.61479599997512,,
600,2020-09-04,10467.33,10638.71,10020.02,10174.62,54204.6,562742223.01,64.37,-89.78733984582686,82.53436883081471,,
601,2020-09-05,10167.97,10570.95,9880.05,10467.33,60292.64,614402772.13,23.27,-169.2831599504425,32.17086307456327,,
602,2020-09-06,10260.37,10361.12,10019.56,10167.97,29450.0,300644746.65,54.61,-222.26611689906713,-18.716532920162813,,
603,2020-09-07,10379.08,10411.92,9893.68,10260.37,41648.61,422137373.09,63.38,-251.77428981438243,-65.32808429900673,,
604,2020-09-08,10128.54,10443.72,9855.68,10379.08,54770.65,553186747.41,21.86,-292.0101028982972,-110.66448801886483,,
605,2020-09-09,10228.85,10349.09,9989.63,10128.54,33984.18,346738492.44,55.69,-312.2042002956896,-150.97243047422978,,
606,2020-09-10,10345.68,10493.32,10221.37,10228.85,43679.85,452098495.16,65.4,-315.14813187146865,-183.80757075367757,,
607,2020-09-11,10398.5,10412.6,10215.49,10345.68,25800.65,266084892.24,65.6,-309.64963801350314,-208.9759842056427,,
608,2020-09-12,10448.0,10486.76,10282.43,10398.5,17704.47,184001054.5,69.77,-297.8642124779053,-226.75362986009523,,
609,2020-09-13,10332.36,10578.97,10224.4,10448.0,28905.77,299956975.1,26.04,-294.46099631779,-240.29510315163418,,
610,2020-09-14,10678.31,10753.33,10259.62,10332.36,34032.31,359274837.28,74.46,-260.8418270035363,-244.40444792201464,,
611,2020-09-15,10786.7,10936.89,10632.26,10678.31,34224.45,369481767.48,71.2,-222.88296982566317,-240.10015230274436,,
612,2020-09-16,10957.1,11094.7,10670.02,10786.7,34093.35,372894154.99,81.54,-177.00998520110988,-227.48211888241747,,
613,2020-09-17,10945.14,11047.25,10755.99,10957.1,26980.75,293584349.54,49.78,-140.00647889752872,-209.98699088543972,,
614,2020-09-18,10937.89,11040.66,10823.93,10945.14,22774.38,248821618.73,47.45,-109.99795995429486,-189.98918469921074,,
615,2020-09-19,11083.61,11173.88,10898.63,10937.89,17491.35,193207449.76,77.85,-73.60908659473353,-166.7131650783153,,
616,2020-09-20,10921.85,11083.9,10775.23,11083.61,21791.13,237773866.86,34.49,-57.1643671637994,-144.80340549541214,,
617,2020-09-21,10418.14,10992.25,10319.73,10921.85,44906.88,473754186.1,14.94,-83.81087624595784,-132.60489964552127,,
618,2020-09-22,10534.73,10576.92,10365.99,10418.14,28764.85,301280976.85,58.43,-94.43203434456154,-124.97032658532933,,
619,2020-09-23,10238.09,10546.48,10166.62,10534.73,26680.48,277589382.46,22.77,-125.34089571133336,-125.04444041053014,,
620,2020-09-24,10742.98,10792.17,10213.75,10238.09,29020.54,304956298.0,75.83,-107.85272845497275,-121.60609801941867,,
621,2020-09-25,10694.12,10762.38,10562.14,10742.98,33843.79,360929423.35,43.84,-96.81974580734095,-116.64882757700312,,
622,2020-09-26,10734.23,10822.99,10658.15,10694.12,13794.51,148097714.06,59.39,-83.87265403717538,-110.09359286903756,,
623,2020-09-27,10781.47,10810.35,10612.42,10734.23,13820.35,148127427.26,64.99,-69.00467439915883,-101.87580917506183,,
624,2020-09-28,10699.0,10951.6,10649.18,10781.47,32269.15,350615325.76,33.08,-63.14839776653207,-94.13032689335589,,
625,2020-09-29,10841.29,10863.02,10641.03,10699.0,31167.43,334584439.48,67.87,-46.48973775217928,-84.60220906512056,,
626,2020-09-30,10779.42,10850.12,10666.17,10841.29,29556.58,317604086.65,39.43,-37.843782040054066,-75.25052366010726,,
627,2020-10-01,10622.79,10926.47,10454.66,10779.42,39457.33,422940486.72,23.42,-43.133317797903146,-68.82708248766644,,
628,2020-10-02,10576.64,10668.49,10388.07,10622.79,33798.95,355424408.51,25.97,-50.46747467031673,-65.15516092419651,,
629,2020-10-03,10552.04,10602.28,10507.49,10576.64,10469.92,110570157.37,23.77,-57.60087421798744,-63.6443035829547,,
630,2020-10-04,10675.52,10699.94,10534.5,10552.04,10487.7,111420779.07,70.82,-52.68304338818052,-61.452051543999865,,
631,2020-10-05,10795.11,10799.53,10627.77,10675.52,23891.17,255950434.22,76.43,-38.68972244302313,-56.89958572380452,,
632,2020-10-06,10603.9,10801.66,10533.32,10795.11,30869.62,329346366.4,28.83,-42.538605207439105,-54.02738962053144,,
633,2020-10-07,10672.67,10679.76,10554.41,10603.9,19601.45,208253472.75,57.37,-39.58341529115569,-51.13859475465629,,
634,2020-10-08,10929.4,10957.42,10541.2,10672.67,39280.36,423807796.12,80.84,-16.337116464539577,-44.17829909663295,,
635,2020-10-09,11058.78,11109.32,10839.3,10929.4,32665.61,359802403.01,79.85,12.382885367875133,-32.86606220373133,,
636,2020-10-10,11301.57,11485.43,11057.98,11058.78,26181.83,296925751.27,90.13,54.111059050048425,-15.470637952975382,,
637,2020-10-11,11375.51,11434.1,11284.09,11301.57,17795.07,202131016.49,80.99,92.08576995146541,6.040643627912777,,
638,2020-10-12,11539.76,11725.28,11223.99,11375.51,41705.77,478557074.68,89.3,133.8911899460054,31.610752891531302,,
639,2020-10-13,11427.29,11561.69,11314.56,11539.76,33529.75,383360256.66,34.37,156.14693279134553,56.517988871494154,,
640,2020-10-14,11429.3,11550.25,11298.88,11427.29,22758.2,259711904.03,51.46,171.96465800873375,79.60732269894208,,
641,2020-10-15,11508.31,11607.59,11269.05,11429.3,33044.49,377801262.9,63.99,188.70054348664598,101.42596685648286,,
642,2020-10-16,11326.25,11545.35,11224.89,11508.31,29300.16,332320579.31,25.43,185.1389660863024,118.16856670244677,,
643,2020-10-17,11367.65,11410.01,11270.69,11326.25,9901.25,112306061.3,50.58,183.5412747773571,131.24310831742883,,
644,2020-10-18,11513.33,11513.68,11357.25,11367.65,11528.41,131886570.58,71.28,191.81908044952434,143.35830274384793,,
645,2020-10-19,11756.88,11821.95,11417.11,11513.33,39224.67,456404609.75,84.85,215.54705833570188,157.79605386221874,,
646,2020-10-20,11921.78,12047.73,11688.39,11756.88,48504.61,576128149.71,84.8,244.83539362161537,175.20392181409807,,
647,2020-10-21,12813.11,13236.39,11900.51,11921.78,103080.18,1296152945.69,97.0,336.09519598383486,207.38217664804543,,
648,2020-10-22,12990.25,13197.69,12700.74,12813.11,57124.85,739591002.3,89.04,417.89572266667165,249.48488585177068,,
649,2020-10-23,12937.2,13031.82,12732.62,12990.25,32269.84,416662855.54,45.08,472.99020114847553,294.18594891111167,,
650,2020-10-24,13126.13,13167.31,12886.47,12937.2,20932.05,273005904.67,69.99,525.8365281510451,340.51606475909836,,
651,2020-10-25,13041.21,13346.7,12910.39,13126.13,28208.48,368884232.62,42.75,554.473661521708,383.30758411162026,,
652,2020-10-26,13069.43,13241.79,12797.05,13041.21,35322.99,460984686.3,60.06,572.8425419514679,421.2145756795898,,
653,2020-10-27,13646.02,13783.14,13060.64,13069.43,44978.37,603406480.39,87.0,626.701778277331,462.31201619913804,,
654,2020-10-28,13285.97,13855.57,12906.15,13646.02,32501.89,434942187.78,30.95,633.035347726056,496.4566825045216,,
655,2020-10-29,13462.18,13643.6,12985.56,13285.97,41497.54,555737562.11,64.77,644.8401061519708,526.1333672340114,,
656,2020-10-30,13565.95,13674.89,13132.53,13462.18,56364.21,756044940.71,65.86,655.018192028092,551.9103321928276,,
657,2020-10-31,13803.41,14077.8,13432.24,13565.95,43579.77,600104833.89,82.12,674.4705591159,576.422377577442,,
658,2020-11-01,13761.72,13897.02,13630.22,13803.41,20841.63,286724152.06,42.77,678.6990454768202,596.8777111573177,,
659,2020-11-02,13571.24,13828.48,13221.65,13761.72,33465.17,453096297.52,26.9,659.0825143296606,609.3186717917863,,
660,2020-11-03,14023.78,14071.54,13300.84,13571.24,21969.7,300271386.78,79.35,672.3025823559055,621.9154539046101,,
661,2020-11-04,14157.73,14258.9,13539.13,14023.78,30406.02,423118194.37,72.36,685.6840877057475,634.6691806648377,,
662,2020-11-05,15599.92,15739.47,14114.37,14157.73,42121.25,625288741.44,93.8,803.400605142735,668.4154655604171,,
663,2020-11-06,15590.62,15948.88,15219.57,15599.92,34543.56,538014394.46,51.9,885.7312030760695,711.8786130635476,,
664,2020-11-07,14838.16,15765.02,14427.34,15590.62,25695.27,388303730.2,23.0,880.1161307665625,745.5261166041506,,
665,2020-11-08,15488.25,15653.89,14739.11,14838.16,18706.65,285202500.11,77.37,917.5460754726028,779.9301083778411,,
666,2020-11-09,15335.03,15812.23,14833.13,15488.25,32088.79,492570531.42,40.39,924.1924871314914,808.7825841285712,,
667,2020-11-10,15313.73,15476.99,15099.11,15335.03,23031.66,352628988.82,40.7,917.1685362986373,830.4597745625845,,
668,2020-11-11,15707.08,15983.03,15288.76,15313.73,45852.83,717920492.19,79.92,932.5917254033975,850.8861647307472,,
669,2020-11-12,16306.53,16348.99,15476.25,15707.08,67322.57,1074746061.94,87.74,981.8669678597926,877.0823253565563,,
670,2020-11-13,16332.85,16482.62,15975.8,16306.53,42676.28,694320640.17,72.81,1011.383161033782,903.9424924920015,,
671,2020-11-14,16075.95,16334.29,15720.61,16332.85,28331.05,452657737.75,32.9,1002.4892022836739,923.6518344503361,,
672,2020-11-15,15964.7,16156.82,15796.03,16075.95,17966.53,286912254.78,30.85,975.2219787354825,933.9658633073653,,
673,2020-11-16,16721.46,16876.48,15877.77,15964.7,41641.22,685608661.41,82.29,1003.1134477078631,947.795380187465,,
674,2020-11-17,17681.54,17857.37,16563.5,16721.46,62123.13,1072294334.69,89.06,1090.1218242792966,976.2606690058313,,
675,2020-11-18,17786.27,18466.1,17260.91,17681.54,80691.42,1441862086.0,76.05,1154.2222694645588,1011.8529890975769,,
676,2020-11-19,17824.64,18172.87,17365.08,17786.27,48224.86,859856045.56,75.51,1194.350740541733,1048.3525393864084,,
677,2020-11-20,18672.78,18814.87,17764.07,17824.64,51122.68,939934212.29,96.19,1279.8374829464537,1094.6495280984175,,
678,2020-11-21,18704.06,18966.12,18359.06,18672.78,37702.81,705040526.65,78.93,1334.7245035433534,1142.6645231874047,,
679,2020-11-22,18430.59,18757.55,17635.18,18704.06,43464.62,796767991.89,32.46,1340.7013486999767,1182.2718882899192,,
680,2020-11-23,18385.74,18761.66,18010.51,18430.59,48994.17,902518528.75,36.08,1326.5276365155623,1211.123037935048,,
681,2020-11-24,19157.16,19419.49,18117.78,18385.74,74142.3,1403472685.29,79.3,1361.8435299720404,1241.2671363424465,,
682,2020-11-25,18725.76,19488.81,18519.89,19157.16,59989.48,1141495120.46,34.31,1339.5794176661802,1260.9295926071932,,
683,2020-11-26,17175.86,18907.31,16270.37,18725.76,129609.34,2220672632.83,15.28,1183.2314160856222,1245.389957302879,,
684,2020-11-27,17155.0,17479.12,16462.87,17175.86,61052.47,1034426524.1,24.21,1045.588378766548,1205.429641595613,,
685,2020-11-28,17739.9,17893.95,16895.0,17155.0,34697.03,605284901.68,72.19,972.491544641729,1158.8420222048362,,
686,2020-11-29,18199.23,18347.24,17543.55,17739.9,27161.16,489679989.73,77.9,940.7811299326313,1115.2298437503953,,
687,2020-11-30,19686.87,19850.23,18199.03,18199.23,77985.3,1493787961.07,91.27,1023.8877721983517,1096.9614294399867,,
688,2020-12-01,18792.03,19911.79,18194.17,19686.87,91108.23,1743191338.61,27.99,1005.9483292760742,1078.7588094072041,,
689,2020-12-02,19226.19,19337.16,18350.0,18792.03,47787.81,903817773.96,67.48,1015.0632577070392,1066.0196990671711,,
690,2020-12-03,19448.44,19608.49,18888.12,19226.19,38699.87,747088833.15,66.77,1028.366255677658,1058.4890103892685,,
691,2020-12-04,18665.0,19541.62,18603.79,19448.44,42234.35,804366524.28,24.1,964.572920689654,1039.7057924493456,,
692,2020-12-05,19156.84,19178.4,18514.92,18665.0,20517.48,388466883.76,67.22,942.8352032980292,1020.3316746190824,,
693,2020-12-06,19378.94,19417.33,18885.88,19156.84,21172.5,405708588.31,66.77,932.7770463296838,1002.8207489612028,,
694,2020-12-07,19181.41,19411.51,18909.97,19378.94,24908.46,477334574.93,32.92,898.5094071512976,981.9584805992217,,
